Date,GDP_RB,ADV_RU,RB_GDP,RB_GDP_SA,RU_GDP,RU_GDP_SA
2018q1,5990.3,3971.72,28137.8,30482.06,20118.49,22216.38
2018q2,6559.8,3968.12,29586.5,30667.6,21612.6,22364.98
2018q3,6606.4,3965.76,32726.7,30646.06,23155.33,22430.42
2018q4,6846.1,4031.09,31868.7,30700.85,24740.19,22499.61
2019q1,6057,4016.84,28527.2,30939.43,20397.19,22586.75
2019q2,6501.5,4077,29752.7,30952.69,21905.29,22739.5
2019q3,6746,4143.89,33255.2,30944.09,23795.39,23098.92
2019q4,7025,4133.81,32553.9,31194.97,25498.79,23029.1
2020q1,5898.4,4190.42,28570,31175.68,20703.25,22890.51
2020q2,6248.3,3818.06,28852.7,30187.46,20299.7,21072.02
2020q3,6878.4,4185.85,33290.5,30971.26,22999.92,22490.73
2020q4,7346.2,4239.61,32541,31150.5,25163.13,22682.4
2021q1,6140,4236.26,28991,31469.31,20819.62,23049.94
2021q2,6968.9,4355.47,30645.4,31797.34,22582.77,23378.54
2021q3,7113.7,4340.76,33675.8,31508.69,24144.83,23631.42
2021q4,7406,4373.57,32948,31753.36,26624.83,23891.73
2022q1,6433.5,4353.92,28860.5,31351.21,21446.42,23804.16
2022q2,6195.5,4219.81,28178.6,29234.32,21574.26,22351.24
2022q3,6470.3,4280.25,31840.6,29762.33,23288.9,22826.78
2022q4,7144.5,4303.84,31449.2,30202.51,25913.38,23222.92
2023q1,6599.9,4389.42,28275.2,30664.34,NA,23541.86
2023q2,6954.3,4494.61,,,,
2023q3,7366.3,4536.42,,,,
2023q4,,,,,,
