date;CPI_QQ
2015Q1;103.8997
2015Q2;102.6723
2015Q3;102.8340
2015Q4;102.0712
2016Q1;104.6399
2016Q2;102.0575
2016Q3;101.8899
2016Q4;101.7027
2017Q1;100.5541
2017Q2;101.8991
2017Q3;100.5699
2017Q4;101.2712
2018Q1;101.2898
2018Q2;101.0958
2018Q3;101.6177
2018Q4;101.5584
2019Q1;101.3890
2019Q2;100.9477
2019Q3;101.2210
2019Q4;101.0655
2020Q1;101.6153
2020Q2;100.9371
2020Q3;102.1167
2020Q4;102.4795
2021Q1;102.7238
2021Q2;102.2050
2021Q3;102.3177
2021Q4;102.3607
2022Q1;108.0110
2022Q2;103.7740
2022Q3;102.3210
2022Q4;98.5111
2023Q1;101.3595
2023Q2;100.4762
2023Q3;NA
2023Q4;NA
