Date,CPI_QQ
01.01.2015,103.8997
01.04.2015,102.6723
01.07.2015,102.834
01.10.2015,102.0712
01.01.2016,104.6399
01.04.2016,102.0575
01.07.2016,101.8899
01.10.2016,101.7027
01.01.2017,100.5541
01.04.2017,101.8991
01.07.2017,100.5699
01.10.2017,101.2712
01.01.2018,101.2898
01.04.2018,101.0958
01.07.2018,101.6177
01.10.2018,101.5584
01.01.2019,101.389
01.04.2019,100.9477
01.07.2019,101.221
01.10.2019,101.0655
01.01.2020,101.6153
01.04.2020,100.9371
01.07.2020,102.1167
01.10.2020,102.4795
01.01.2021,102.7238
01.04.2021,102.205
01.07.2021,102.3177
01.10.2021,102.3607
01.01.2022,108.011
01.04.2022,103.774
01.07.2022,102.321
01.10.2022,98.5111
01.01.2023,101.3595
01.04.2023,100.4762
01.07.2023,100.5203
01.10.2023,100.87
