Date,PPI_RB,PPI_RU,,
2017-01-01,104.1,103.3,,
2017-02-01,102.3,100.8,,
2017-03-01,100.4,99.7,,
2017-04-01,101.1,98.5,,
2017-05-01,100.4,99.5,,
2017-06-01,100.6,99.7,,
2017-07-01,101.1,99.5,,
2017-08-01,99.9,101.5,,
2017-09-01,100.7,102.4,,
2017-10-01,100.9,101.2,,
2017-11-01,100.9,100.9,,
2017-12-01,100.6,101.2,,
2018-01-01,100.3,100.2,,
2018-02-01,100.4,100.9,,
2018-03-01,100.3,99.1,,
2018-04-01,101.2,101.2,,
2018-05-01,100.5,103.9,,
2018-06-01,100.7,103.4,,
2018-07-01,100.2,100.3,,
2018-08-01,100.4,100.2,,
2018-09-01,100.9,101.3,,
2018-10-01,100.7,103.3,,
2018-11-01,100.6,100.7,,
2018-12-01,100.9,96.7,,
2019-01-01,101,98,,
2019-02-01,100.6,100.1,,
2019-03-01,100.7,100.9,,
2019-04-01,100.7,100.5,,
2019-05-01,100.6,101.8,,
2019-06-01,100.5,99.4,,
2019-07-01,99.9,97.3,,
2019-08-01,100.2,99.4,,
2019-09-01,100.1,99.7,,
2019-10-01,99.9,99.8,,
2019-11-01,99.9,99.2,,
2019-12-01,100.3,99.6,,
2020-01-01,101,101.2,,
2020-02-01,100.7,99.4,,
2020-03-01,101.4,98.7,,
2020-04-01,101.3,92.8,,
2020-05-01,99.8,97.2,,
2020-06-01,100.3,106.1,,
2020-07-01,100.5,104.3,,
2020-08-01,100.6,101,,
2020-09-01,101.7,100.7,,
2020-10-01,100.5,100.3,,
2020-11-01,99.8,101,,
2020-12-01,100.9,101.5,,
2021-01-01,101.7,103.4,,
2021-02-01,101.5,103.5,,
2021-03-01,101.3,103.6,,
2021-04-01,101.7,102.7,,
2021-05-01,104.7,102.3,,
2021-06-01,101.3,102.9,,
2021-07-01,101.1,102.6,,
2021-08-01,100.7,101.5,,
2021-09-01,100.8,99,,
2021-10-01,100.5,100.4,,
2021-11-01,99.96,102.7,,
2021-12-01,102.3,100.8,,
2022-01-01,101.1,100,,
2022-02-01,101.5,104,,
2022-03-01,104.2,106,,
2022-04-01,102.8,106.2,,
2022-05-01,100.4,93.1,,
2022-06-01,101.6,96.1,,
2022-07-01,101.7,97.8,,
2022-08-01,100.6,98.9,,
2022-09-01,100.5,99.2,,
2022-10-01,99.97,97.5,,
2022-11-01,99.9,99.6,,
2022-12-01,100.1,99.2,,
2023-01-01,100.5,99.78,,
2023-02-01,101.7,100.43,,
2023-03-01,100.4,102.14,,
2023-04-01,100.3,102,,
2023-05-01,100.3,102.02,,
2023-06-01,100,100.98,,
2023-07-01,99.7,100.56,,
2023-08-01,100.6,102.46,,
2023-09-01,101.1,103.25,,
2023-10-01,100.6,100.77,,
2023-11-01,100.6,100.51,,
2023-12-01,99.95,99.16,,
