Date,CPI_MM
2016-07-01,100.7808
2016-08-01,100.5109
2016-09-01,100.5677
2016-10-01,100.6141
2016-11-01,100.8134
2016-12-01,100.2743
2017-01-01,100.2661
2017-02-01,99.9168
2017-03-01,100.2723
2017-04-01,100.7517
2017-05-01,100.5591
2017-06-01,100.9165
2017-07-01,100.3229
2017-08-01,99.8749
2017-09-01,100.1384
2017-10-01,101.0133
2017-11-01,100.4907
2017-12-01,99.9704
2018-01-01,100.173
2018-02-01,100.2622
2018-03-01,100.7475
2018-04-01,100.3675
2018-05-01,100.0262
2018-06-01,100.6305
2018-07-01,100.2746
2018-08-01,100.7951
2018-09-01,100.6831
2018-10-01,100.3439
2018-11-01,100.6273
2018-12-01,100.5703
2019-01-01,100.3176
2019-02-01,100.6604
2019-03-01,100.3311
2019-04-01,100.1017
2019-05-01,100.6579
2019-06-01,100.1409
2019-07-01,100.6252
2019-08-01,100.433
2019-09-01,100.3229
2019-10-01,100.3964
2019-11-01,100.3288
2019-12-01,100.3205
2020-01-01,100.3067
2020-02-01,100.2969
2020-03-01,100.7874
2020-04-01,100.6169
2020-05-01,100.1953
2020-06-01,100.3864
2020-07-01,100.6294
2020-08-01,100.8432
2020-09-01,100.7932
2020-10-01,100.4652
2020-11-01,100.7914
2020-12-01,100.9995
2021-01-01,100.5859
2021-02-01,101.2072
2021-03-01,100.6213
2021-04-01,100.7519
2021-05-01,100.91
2021-06-01,100.8332
2021-07-01,100.5136
2021-08-01,100.8686
2021-09-01,101.1803
2021-10-01,100.776
2021-11-01,100.6733
2021-12-01,100.6356
2022-01-01,100.9702
2022-02-01,100.8267
2022-03-01,105.9696
2022-04-01,101.5615
2022-05-01,101.0924
2022-06-01,101.3009
2022-07-01,100.939
2022-08-01,100.753
2022-09-01,100.7273
2022-10-01,98.893
2022-11-01,99.0801
2022-12-01,100.178
2023-01-01,100.1984
2023-02-01,100.5082
2023-03-01,100.4676
2023-04-01,100.3388
2023-05-01,100.1029
2023-06-01,100.4669
2023-07-01,100.7097
2023-08-01,100.3874
2023-09-01,100.5203
2023-10-01,100.5128
2023-11-01,100.65
2023-12-01,100.87
