DATE;CPI;GDP
01.01.2003;104.27;0.86346
01.02.2003;101.85;0.88561
01.03.2003;101.82;1.06747
01.04.2003;102.01;1.02496
01.05.2003;102.03;0.96273
01.06.2003;101.75;1.08481
01.07.2003;101.47;1.15273
01.08.2003;100.21;1.34684
01.09.2003;101.65;1.48779
01.10.2003;101.93;1.00248
01.11.2003;101.86;1.23948
01.12.2003;102.02;1.41902
01.01.2004;101.85;0.93771
01.02.2004;101.85;0.98626
01.03.2004;101.18;1.16859
01.04.2004;101.29;1.13693
01.05.2004;100.68;1.08399
01.06.2004;101.03;1.21158
01.07.2004;100.91;1.2561
01.08.2004;99.82;1.52181
01.09.2004;100.09;1.68947
01.10.2004;101.23;1.12664
01.11.2004;101.56;1.36866
01.12.2004;102.1;1.5929
01.01.2005;100.71;1.03617
01.02.2005;100.93;1.07442
01.03.2005;100.99;1.28813
01.04.2005;100.53;1.24103
01.05.2005;100.57;1.16257
01.06.2005;100.15;1.31652
01.07.2005;100.85;1.3673
01.08.2005;99.73;1.63364
01.09.2005;100.05;1.85649
01.10.2005;100.94;1.2093
01.11.2005;100.5;1.51608
01.12.2005;101.73;1.79659
01.01.2006;101.3;1.14601
01.02.2006;100.16;1.19992
01.03.2006;100.13;1.43821
01.04.2006;100.88;1.3567
01.05.2006;100.33;1.28813
01.06.2006;100.24;1.43734
01.07.2006;100.51;1.50238
01.08.2006;99.34;1.77318
01.09.2006;100.18;2.00807
01.10.2006;100.7;1.36737
01.11.2006;101.84;1.67655
01.12.2006;100.84;1.95254
01.01.2007;101.76;1.26772
01.02.2007;100.84;1.30577
01.03.2007;100.38;1.55501
01.04.2007;99.82;1.48016
01.05.2007;100.38;1.41435
01.06.2007;100.43;1.56543
01.07.2007;100.48;1.65154
01.08.2007;100.26;1.92695
01.09.2007;100.94;2.18755
01.10.2007;101.54;1.44834
01.11.2007;102.22;1.79667
01.12.2007;102.44;2.10388
01.01.2008;102.54;1.37927
01.02.2008;100.66;1.46082
01.03.2008;100.84;1.75492
01.04.2008;101.15;1.64294
01.05.2008;101.28;1.54213
01.06.2008;100.6;1.74621
01.07.2008;100.76;1.82984
01.08.2008;100.17;2.16132
01.09.2008;101.03;2.44041
01.10.2008;101.01;1.58326
01.11.2008;101.35;1.93799
01.12.2008;101.18;2.234
01.01.2009;104.12;1.41555
01.02.2009;101.23;1.45863
01.03.2009;100.64;1.77138
01.04.2009;100.43;1.60487
01.05.2009;100.32;1.58412
01.06.2009;100.43;1.72033
01.07.2009;100.38;1.84441
01.08.2009;99.78;2.05869
01.09.2009;100.33;2.46797
01.10.2009;100.43;1.43976
01.11.2009;100.32;2.02964
01.12.2009;101.33;2.36118
01.01.2010;100.79;1.44811
01.02.2010;100.53;1.54678
01.03.2010;101.12;1.85043
01.04.2010;100.67;1.81513
01.05.2010;100.79;1.71154
01.06.2010;100.18;1.83739
01.07.2010;100.29;1.99469
01.08.2010;100.61;2.09233
01.09.2010;101.61;2.72366
01.10.2010;101.05;1.58556
01.11.2010;100.9;2.23274
01.12.2010;100.97;2.59777
01.01.2011;101.42;1.59339
01.02.2011;102.69;1.70356
01.03.2011;101.89;2.076
01.04.2011;104.46;2.07265
01.05.2011;113.14;1.93211
01.06.2011;108.62;1.98144
01.07.2011;103.51;2.03201
01.08.2011;108.93;2.18949
01.09.2011;113.59;2.71266
01.10.2011;108.17;1.65225
01.11.2011;108.11;2.16719
01.12.2011;102.28;2.62264
01.01.2012;101.93;1.66218
01.02.2012;101.54;1.74708
01.03.2012;101.46;2.16403
01.04.2012;101.71;2.14766
01.05.2012;101.58;2.02021
01.06.2012;101.82;2.00421
01.07.2012;101.34;2.11449
01.08.2012;102.33;2.18666
01.09.2012;101.3;2.75718
01.10.2012;101.78;1.66037
01.11.2012;101.69;2.1237
01.12.2012;101.39;2.57938
01.01.2013;103.01;1.75671
01.02.2013;101.24;1.81451
01.03.2013;101.05;2.23909
01.04.2013;100.46;2.17258
01.05.2013;100.72;1.93893
01.06.2013;100.33;2.02949
01.07.2013;100.98;2.1689
01.08.2013;100.13;2.20704
01.09.2013;101.67;2.79682
01.10.2013;101.85;1.65603
01.11.2013;101.55;2.06932
01.12.2013;102.39;2.57163
01.01.2014;101.61;1.7366
01.02.2014;101.99;1.79677
01.03.2014;101.26;2.33116
01.04.2014;101.55;2.20331
01.05.2014;102.22;2.00256
01.06.2014;101.15;2.01324
01.07.2014;100.85;2.22642
01.08.2014;100.8;2.23822
01.09.2014;101.23;2.8441
01.10.2014;101.24;1.75218
01.11.2014;100.62;2.1278
01.12.2014;100.62;2.59272
01.01.2015;102.36;1.72339
01.02.2015;101.65;1.78342
01.03.2015;100.83;2.2377
01.04.2015;100.9;2.10909
01.05.2015;100.65;1.89988
01.06.2015;100.72;1.93904
01.07.2015;100.21;2.03048
01.08.2015;100.22;2.22823
01.09.2015;101.33;2.74244
01.10.2015;100.83;1.63737
01.11.2015;100.48;2.02234
01.12.2015;101.2;2.52118
01.01.2016;101.86;1.65022
01.02.2016;102.91;1.72021
01.03.2016;100.83;2.175
01.04.2016;100.71;2.08686
01.05.2016;100.49;1.85305
01.06.2016;100.39;1.92937
01.07.2016;100.35;1.95557
01.08.2016;99.85;2.12082
01.09.2016;100.67;2.68717
01.10.2016;100.8;1.61396
01.11.2016;100.79;1.99064
01.12.2016;100.48;2.47886
01.01.2017;100.87;1.64197
01.02.2017;100.54;1.69476
01.03.2017;100.28;2.23088
01.04.2017;100.66;2.11811
01.05.2017;100.28;1.90397
01.06.2017;100.71;1.96201
01.07.2017;99.89;1.99241
01.08.2017;99.21;2.22585
01.09.2017;100.25;2.73554
01.10.2017;101.2;1.72218
01.11.2017;100.45;2.078
01.12.2017;100.17;2.56261
01.01.2018;100.75;1.72243
01.02.2018;100.91;1.80783
01.03.2018;100.78;2.32687
01.04.2018;100.29;2.19751
01.05.2018;99.72;1.99536
01.06.2018;100.43;2.04463
01.07.2018;99.84;2.07251
01.08.2018;100.13;2.20208
01.09.2018;100.81;2.82099
01.10.2018;100.51;1.76567
01.11.2018;100.56;2.08589
01.12.2018;100.78;2.59744
01.01.2019;100.88;1.73793
01.02.2019;101.34;1.82763
01.03.2019;100.38;2.37357
01.04.2019;100.04;2.24438
01.05.2019;100.33;1.97703
01.06.2019;99.94;2.05503
01.07.2019;100.19;2.1499
01.08.2019;99.77;2.20017
01.09.2019;100.46;2.85484
01.10.2019;100.54;1.80782
01.11.2019;100.23;2.11301
01.12.2019;100.54;2.65685
01.01.2020;100.86;1.71012
01.02.2020;101;1.84118
01.03.2020;100.85;2.39377
01.04.2020;100.58;2.14842
01.05.2020;99.85;1.91464
01.06.2020;100.19;2.0242
01.07.2020;100.19;2.13202
01.08.2020;100.17;2.23563
01.09.2020;100.94;2.84571
01.10.2020;100.59;1.81278
01.11.2020;100.66;2.11944
01.12.2020;101.23;2.63825
01.01.2021;101.14;1.74261
01.02.2021;101.94;1.85485
01.03.2021;100.69;2.43678
01.04.2021;100.74;2.31824
01.05.2021;100.55;2.02595
01.06.2021;100.65;2.12316
01.07.2021;100.07;2.18684
01.08.2021;100.18;2.23635
01.09.2021;101.33;2.87903
01.10.2021;100.89;1.78111
01.11.2021;100.51;2.14925
01.12.2021;100.87;2.70157
01.01.2022;101.53;1.78966
01.02.2022;101.57;1.85097
01.03.2022;106.05;2.36947
01.04.2022;101.57;2.15027
01.05.2022;100.72;1.84444
01.06.2022;101.13;1.94672
01.07.2022;100.5;1.95842
01.08.2022;100.05;2.1686
01.09.2022;100.87;2.77469
01.10.2022;99;1.7172
01.11.2022;98.9;2.04824
01.12.2022;100.42;2.5746
01.01.2023;100.76;1.70018
01.02.2023;101.26;1.80939
01.03.2023;100.55;2.37432
01.04.2023;100.35;2.22752
01.05.2023;99.72;1.98821
01.06.2023;100.3;2.09094
