Шкала,Основные свойства,Общие примеры,Примеры из маркетинга и социологии,Аналитические методы дескриптивные,Аналитические методы статистика вывода
" 
номинальная"," 
Числа идентифицируют и классифицируют объекты"," 
Номер паспорта, номер футболиста"," 
Марка, тип магазина, пол, цвет, место работы, национальность, город, номер автомобиля, да/нет вопросы"," 
Процент, мода"," 
Хи-квадрат, биноминальный тест"
" 
порядковая"," 
Числа описывают взаимоположение объектов  относительно друг друга, но не величину разницы между ними"," 
Рейтинг, место в турнире"," 
Рейтинг предпочтений, позиция на рынке, социальный класс, образование, позиция в топ-листе"," 
Процентиль, медиана"," Ранговая корреляция, критерий Фридмана, критерий Уилкинсона"
" 
интервальная"," 
Различия (дистанции) между объектами можно сравнить; пропорции недопустимы, т.к. нулевая точка произвольна"," 
Температура (по Цельсию или Фаренгейту)"," 
Отношения, мнения, потребительский индекс"," 
Диапазон, среднее арифметическое, дисперсия,  стандартное отклонение"," Корреляционный анализ, t-тест, дисперсный анализ, регрессия, факторынй анализ"
отношения," 
Фиксированная нулевая точка, поэтому возможны сравнения пропорций"," 
Длина, вес, рост, время, деньги"," 
Возраст, доход, затраты, продажи, доля рынка"," 
Среднее геометрическое, среднее гармоническое"," 
Коэффициент вариации"
